index	hash	title	smName	artist	version	levels	displayBpm	abcSort	dAudioUrl	useSsc	missingDifficulties	isLineout
23	i91q8l0bbi8qll000ob6qDiQP891iiql	乙女繚乱 舞い咲き誇れ	Otome ryouran mai sakihokore	日向美ビタースイーツ♪	14	4,7,10,13,,7,10,13,	210	あ	m4ecf8ehcpt4l4y/Otome%20ryouran%20mai%20sakihokore.mp3				
24	qdQoQli1d8DP0Obb919I6P1Odilib1Dd	おねがいダーリン	Onegai darling	松下	15	1,3,8,11,,3,8,11,	180	あ	jf3o5iscfsjp0f8/Onegai%20darling.mp3				
25	I96dOqqqQIi9oiqbqDPbQ8I8PQbqOb1o	朧	Oboro	HHH×MM×ST	15	3,6,8,11,13,6,10,12,14	149	あ	6m471h388ca3doz/Oboro.mp3				
26	oPP1Pdl6Qdlb8oq10PP1doDibdbbl9bl	朧 (dj TAKA Remix)	Oboro (dj TAKA Remix)	HHH×MM×ST	15	3,5,8,12,,7,9,13,	149	あ	tbvdo0h7z3qkykz/Oboro%20%28dj%20TAKA%20Remix%29.mp3				
27	0Ib6qIb0iPOoQqqDIl90dP0PI0o9QlDd	女言葉の消失	Onna kotoba no shoushitsu	Sota Fujimori	14	3,6,9,13,,6,9,12,	136	あ	gbv330v7jbr1m3h/Onna%20kotoba%20no%20shoushitsu.mp3				
28	l9lq19DdiD8qQPoPOlboi1qQii0IQI86	革命	KAKUMEI	dj TAKA with NAOKI	6	3,5,9,12,11,4,8,11,11	83-148	か	oa16nfn9anngkq7/KAKUMEI.mp3				
29	qIqqdd1Odqi1Iiolq9qqPOi0bPPld8Pb	革命(X-Special)	KAKUMEI(X-Special)	dj TAKA with NAOKI	10	,,,,14,,,,14	83-148	か	5lu3q0389h5zrxs/KAKUMEI%28X-Special%29.mp3				
30	l1lO999PqIboPQOD86PDQo1ol1iIiiOi	革命パッショネイト	Kakumei passionate	日向美ビタースイーツ♪	16	3,6,10,13,,5,9,13,	194	か	y9jyxj5xam9rgxl/Kakumei%20passionate.mp3				
31	ql1Q8P100IIlbl0Pdi08I8qD900idqQq	カゲロウ	KAGEROW (Dragonfly)	Des-ROW・組スペシアルr	8	3,4,7,9,,4,6,9,	164	か	fulxkrw2f7wnuv1/KAGEROW%20%28Dragonfly%29.mp3				
32	id1lodDbo0Iq9088Qd19d1OlDPP01D8o	からふるぱすてる	Colorful Pastel	ki☆ki	13	2,6,9,12,,6,9,13,	186	か	779d9f34xxug2gs/Colorful%20Pastel.mp3				
33	i89IO1PPOl0boOol0bQI19Q9liQ0l6O1	キケンな果実	Kiken na kajitsu	達見 恵 featured by 佐野宏晃	13	2,6,9,13,,6,9,13,	174	か	bk8y27rimnqqz77/Kiken%20na%20kajitsu.mp3				
34	QIDd80o0OqobODP00ldQ1D9dl81qQi0d	きゅん×きゅんばっきゅん☆LOVE	Kyun kyun bakkyun LOVE	松下feat.Sota & wac	15	3,5,8,11,,5,10,11,	165	か	is2ipqodpexslbj/Kyun%20kyun%20bakkyun%20LOVE.mp3				
35	Dooii0960OioP6Q1l0qi68Q8Dbd9OO91	狂水一華	Kyousui ichika	BEMANI Sound Team "HuΣeR Vs. SYUNN" feat.いちか	17	3,7,11,15,,7,11,16,	160	か	96ui9ysjguu81hy/Kyousui%20ichika.mp3				
36	QoDQ0oq08QqiI0DQ8dIPb10qIi6d6i89	腐れ外道とチョコレゐト	Kusare gedou to chocolate	ピノキオピー	16	3,8,13,15,17,8,13,16,17	260	か	ymq45durhbqfkkg/Kusare%20gedou%20to%20chocolate.mp3				
37	8Q8OiP8QPbl8bqID1loQq896ldPQd99o	倉野川音頭	Kuranogawa ondo	日向美ビタースイーツ♪＆ひなちくん	15	2,5,7,11,,5,8,11,	113	か	dsrq0xgx8eza4rg/Kuranogawa%20ondo.mp3				
38	q6iD8idqo69qIPl00IQidoq1o1o1d1b9	クリムゾンゲイト	Crimson Gate	工藤吉三 (ベイシスケイプ)	14	3,7,10,13,,6,9,12,	198	か	ywtqrjl9cng9djk/Crimson%20Gate.mp3				
39	16oDDIlP8bIODQ6Ql0881d9Qqdb19b98	黒髪乱れし修羅となりて～凛 edition～	Kurokami midareshi shura to narite ~Rin edition~	日向美ビタースイーツ♪	15	3,6,10,14,,6,10,14,	150	か	n3phol3lkmhh7qr/Kurokami%20midareshi%20shura%20to%20narite%20~Rin%20edition~.mp3				
40	IbDoODD9qb66Iqd6DbOQiOoDll1DqiO9	君氏危うくも近うよれ	Kunshi ayauku mo chikou yore	A応P	15	3,6,10,12,,6,10,13,	162	か	g96kjtt8t7ze8uo/Kunshi%20ayauku%20mo%20chikou%20yore.mp3				
41	Pd1d96Q91oiboqb86DdddD68dbq81Pdo	激アツ☆マジヤバ☆チアガール	Gekiatsu majiyaba cheer girl	日向美ビタースイーツ♪	14	3,6,9,13,,5,10,12,	170	か	57kv5mw669d83ly/Gekiatsu%20majiyaba%20cheer%20girl.mp3				
42	qiDOD0iidOli9l0qbP6IbOD19OQ8D8Po	月光蝶	Gekkou chou	あさき	8	4,4,7,10,,3,7,11,	218	か	4kvfkyomm45fslx/Gekkou%20chou.mp3				
43	QlID98Ddoi6O8lP8IQd6iid610011l60	幻想系世界修復少女	Gensoukei sekai shuufuku shoujo	Last Note.	14	3,6,9,12,,7,9,13,	193	か	duug5dia4rc22pp/Gensoukei%20sekai%20shuufuku%20shoujo.mp3				
44	I1qd16dPdqPi96ql0lP10OQDbo11D89P	恋時雨	Koishigure	ときめきアイドル project	15	3,7,9,12,,7,9,13,	185	か	13jv886wk36a2ax/Koishigure.mp3				
